Checking Account,Duration,Credit History,Purpose,Credit Amount,Savings,Present Employment Time,Installment Rate,Personal Status,Guarantors,Residence Time,Property,Age,Other Plans,Housing,Existing Credits,Job,Num of People,Telephone,Foreign Worker,gender,labels
A11,24,A34,A43,1231,A64,A75,4,divorced/seperated/married,A101,4,A122,57,A143,A151,2,A174,1,A192,A201,female,1
A12,20,A33,A410,2629,A61,A73,2,single,A101,3,A123,29,A141,A152,2,A173,1,A192,A201,male,1
A14,48,A34,A43,3578,A65,A75,4,single,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,male,1
A14,15,A34,A40,5045,A65,A75,1,divorced/seperated/married,A101,4,A123,59,A143,A152,1,A173,1,A192,A201,female,1
A11,12,A32,A43,1498,A61,A73,4,divorced/seperated/married,A101,1,A123,23,A141,A152,1,A173,1,A191,A201,female,1
A14,10,A32,A40,1309,A65,A73,4,single,A103,4,A122,27,A143,A152,1,A172,1,A191,A201,male,0
A14,10,A32,A41,2901,A65,A72,1,divorced/seperated/married,A101,4,A121,31,A143,A151,1,A173,1,A191,A201,female,1
A12,30,A30,A49,4280,A62,A73,4,divorced/seperated/married,A101,4,A123,26,A143,A151,2,A172,1,A191,A201,female,0
A11,12,A34,A40,3499,A61,A73,3,divorced/seperated/married,A102,2,A121,29,A143,A152,2,A173,1,A191,A201,female,0
A11,24,A32,A43,3660,A61,A73,2,divorced/seperated/married,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,female,1
A14,24,A32,A43,1901,A62,A73,4,single,A101,4,A123,29,A143,A151,1,A174,1,A192,A201,male,1
A14,10,A32,A43,1924,A61,A73,1,single,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,male,1
A14,12,A34,A43,797,A65,A75,4,divorced/seperated/married,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,female,0
A11,10,A34,A40,2241,A61,A72,1,single,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,male,1
A14,24,A34,A43,2424,A65,A75,4,single,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,male,1
A11,10,A34,A40,1038,A61,A74,4,single,A102,3,A122,49,A143,A152,2,A173,1,A192,A201,male,1
A14,12,A32,A42,1123,A63,A73,4,divorced/seperated/married,A101,4,A123,29,A143,A151,1,A172,1,A191,A201,female,0
A14,12,A34,A43,717,A61,A75,4,single,A101,4,A121,52,A143,A152,3,A173,1,A191,A201,male,1
A12,24,A33,A43,1553,A62,A74,3,divorced/seperated/married,A101,2,A122,23,A143,A151,2,A173,1,A192,A201,female,1
A13,36,A32,A43,4473,A61,A75,4,single,A101,2,A123,31,A143,A152,1,A173,1,A191,A201,male,1
A11,24,A32,A41,2924,A61,A73,3,single,A103,4,A124,63,A141,A152,1,A173,2,A192,A201,male,1
A14,36,A32,A43,2394,A65,A73,4,divorced/seperated/married,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,female,1
A12,54,A30,A49,15945,A61,A72,3,single,A101,4,A124,58,A143,A151,1,A173,1,A192,A201,male,0
A11,36,A34,A41,9629,A61,A74,4,single,A101,4,A123,24,A143,A152,2,A173,1,A192,A201,male,0
A11,24,A32,A43,1938,A61,A72,4,divorced/seperated,A101,3,A122,32,A143,A152,1,A173,1,A191,A201,male,0
A12,12,A32,A42,983,A64,A72,1,divorced/seperated/married,A101,4,A121,19,A143,A151,1,A172,1,A191,A201,female,1
A12,13,A34,A43,882,A61,A72,4,single,A103,4,A121,23,A143,A152,2,A173,1,A191,A201,male,1
A14,12,A34,A42,3331,A61,A75,2,single,A101,4,A122,42,A142,A152,1,A173,1,A191,A201,male,1
A11,18,A32,A43,2389,A61,A72,4,divorced/seperated/married,A101,1,A123,27,A142,A152,1,A173,1,A191,A201,female,1
A13,15,A32,A46,1905,A61,A75,4,single,A101,4,A123,40,A143,A151,1,A174,1,A192,A201,male,1
A14,15,A32,A42,2708,A61,A72,2,single,A101,3,A122,27,A141,A152,2,A172,1,A191,A201,male,1
A11,12,A32,A46,684,A61,A73,4,single,A101,4,A123,40,A143,A151,1,A172,2,A191,A201,male,0
A14,33,A34,A41,7253,A61,A74,3,single,A101,2,A123,35,A143,A152,2,A174,1,A192,A201,male,1
A14,36,A32,A42,3349,A61,A73,4,divorced/seperated/married,A101,2,A123,28,A143,A152,1,A174,1,A192,A201,female,0
A14,24,A34,A43,2611,A61,A75,4,married/widowed,A102,3,A121,46,A143,A152,2,A173,1,A191,A201,male,1
A14,15,A34,A43,1360,A61,A73,4,single,A101,2,A122,31,A143,A152,2,A173,1,A191,A201,male,1
A14,30,A34,A43,6742,A65,A74,2,single,A101,3,A122,36,A143,A152,2,A173,1,A191,A201,male,1
A11,12,A34,A41,1526,A61,A75,4,single,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,male,1
A14,7,A33,A43,846,A65,A75,3,single,A101,4,A124,36,A143,A153,1,A173,1,A191,A201,male,1
A14,28,A31,A41,7824,A65,A72,3,single,A103,4,A121,40,A141,A151,2,A173,2,A192,A201,male,1
A14,12,A32,A49,1542,A61,A74,2,single,A101,4,A123,36,A143,A152,1,A173,1,A192,A201,male,1
A14,9,A34,A46,936,A63,A75,4,single,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,male,1
A11,9,A34,A45,1288,A62,A75,3,single,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,male,1
A14,30,A34,A43,5771,A61,A74,4,divorced/seperated/married,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,female,1
A14,36,A32,A46,1819,A61,A73,4,single,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,male,0
A11,12,A30,A40,1082,A61,A73,4,single,A101,4,A123,48,A141,A152,2,A173,1,A191,A201,male,0
A14,27,A32,A45,5190,A65,A75,4,single,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,male,1
A11,12,A31,A40,697,A61,A72,4,single,A101,2,A123,46,A141,A152,2,A173,1,A192,A201,male,0
A14,18,A34,A43,6070,A61,A75,3,single,A101,4,A123,33,A143,A152,2,A173,1,A192,A201,male,1
A12,48,A32,A40,6560,A62,A74,3,single,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,male,0
A14,12,A34,A43,1655,A61,A75,2,single,A101,4,A121,63,A143,A152,2,A172,1,A192,A201,male,1
A12,42,A34,A49,5954,A61,A74,2,divorced/seperated/married,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,female,1
A14,36,A34,A40,6614,A61,A75,4,single,A101,4,A123,34,A143,A152,2,A174,1,A192,A201,male,1
A12,24,A34,A41,7758,A64,A75,2,divorced/seperated/married,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,female,1
A11,10,A32,A43,2315,A61,A75,3,single,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,male,1
A14,21,A32,A42,2241,A61,A75,4,single,A101,2,A121,50,A143,A152,2,A173,1,A191,A201,male,1
A14,24,A34,A40,1940,A64,A75,4,single,A101,4,A121,60,A143,A152,1,A173,1,A192,A201,male,1
A14,24,A34,A45,5507,A61,A75,3,single,A101,4,A124,44,A143,A153,2,A173,1,A191,A201,male,1
A14,15,A34,A42,1520,A65,A75,4,single,A101,4,A122,63,A143,A152,1,A173,1,A191,A201,male,1
A11,6,A34,A40,666,A64,A74,3,divorced/seperated/married,A101,4,A121,39,A143,A152,2,A172,1,A192,A201,female,1
A14,24,A32,A42,3062,A63,A75,4,single,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,male,1
A12,30,A34,A40,2181,A65,A75,4,single,A101,4,A121,36,A143,A152,2,A173,1,A191,A201,male,1
A12,15,A31,A40,1264,A62,A73,2,married/widowed,A101,2,A122,25,A143,A151,1,A173,1,A191,A201,male,0
A14,15,A32,A41,4657,A61,A73,3,single,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,male,1
A13,12,A32,A43,1881,A61,A73,2,divorced/seperated/married,A101,2,A123,44,A143,A151,1,A172,1,A192,A201,female,1
A12,48,A32,A43,3060,A61,A74,4,single,A101,4,A121,28,A143,A152,2,A173,1,A191,A201,male,0
A12,15,A34,A49,2326,A63,A73,2,single,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,male,1
A11,12,A32,A42,1289,A61,A73,4,single,A103,1,A122,21,A143,A152,1,A172,1,A191,A201,male,1
A12,12,A34,A44,1424,A61,A74,4,single,A101,3,A122,26,A143,A152,1,A173,1,A191,A201,male,1
A14,24,A32,A41,3488,A62,A74,3,divorced/seperated/married,A101,4,A123,23,A143,A152,1,A173,1,A191,A201,female,1
A12,6,A32,A43,590,A61,A72,3,married/widowed,A101,3,A121,26,A143,A152,1,A172,1,A191,A202,male,1
A12,48,A32,A43,5951,A61,A73,2,divorced/seperated/married,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,female,0
A11,18,A31,A40,1442,A61,A74,4,single,A101,4,A124,32,A143,A153,2,A172,2,A191,A201,male,0
A11,12,A32,A42,1282,A61,A73,2,divorced/seperated/married,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,female,0
A14,9,A32,A40,2507,A63,A75,2,single,A101,4,A124,51,A143,A153,1,A172,1,A191,A201,male,1
