sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,94,Greater than 45,Hispanic,4,5,9,4,10,-410.8490295410156,324.30828857421875,5342.24462890625,5314.3984375,M,0
Male,74,25 - 45,African-American,4,9,6,3,11,-139.67672729492188,277.11859130859375,1743.93994140625,4157.60205078125,M,0
Male,62,25 - 45,Hispanic,4,5,1,0,3,171.050537109375,72.72024536132812,994.9775390625,822.3748779296875,M,1
Male,67,25 - 45,Hispanic,4,5,2,1,5,-155.87185668945312,92.03921508789062,1463.3062744140625,857.1011962890625,F,0
Male,95,Less than 25,Asian,7,5,12,6,35,291.77734375,601.9915161132812,7602.9931640625,7603.93896484375,M,0
Female,61,25 - 45,African-American,4,6,0,0,3,748.5633544921875,17.725339889526367,132.642333984375,696.8350830078125,F,1
Male,60,25 - 45,African-American,4,7,1,0,3,194.78973388671875,38.38825607299805,630.5366821289062,679.8197631835938,F,1
Male,87,Less than 25,Asian,4,5,12,4,24,-356.2052917480469,492.2410583496094,3569.710693359375,7592.18212890625,M,0
Male,63,25 - 45,Hispanic,4,5,1,0,4,-132.45223999023438,103.59703063964844,1290.1644287109375,1448.2474365234375,M,0
Male,64,25 - 45,African-American,4,5,1,1,4,17.52154541015625,73.13838958740234,1266.807373046875,2203.272705078125,F,1
Male,65,Greater than 45,African-American,4,5,1,1,5,337.553466796875,55.555240631103516,1303.2957763671875,847.0081787109375,F,1
Male,59,25 - 45,African-American,4,6,1,0,3,316.1680908203125,34.34682083129883,499.53167724609375,405.76336669921875,F,1
Male,86,Greater than 45,African-American,4,5,1,2,3,6.73492431640625,162.85577392578125,4118.71142578125,3444.41357421875,F,0
Male,66,25 - 45,Asian,4,5,3,5,31,1018.2464599609375,55.11089324951172,4453.0,2311.001220703125,F,0
Male,61,25 - 45,Caucasian,4,5,1,1,2,-77.2672119140625,113.70520782470703,1595.646484375,1393.2032470703125,F,0
Male,66,25 - 45,African-American,4,5,2,1,8,319.0770263671875,180.625244140625,1496.0865478515625,1566.3291015625,M,0
Female,63,25 - 45,African-American,4,6,1,1,15,715.4940185546875,147.46902465820312,2765.76708984375,1094.1136474609375,F,1
Male,62,25 - 45,Hispanic,4,5,2,1,1,-361.9674987792969,389.516845703125,3067.802490234375,1541.928955078125,M,0
Male,60,25 - 45,African-American,4,6,0,0,1,-171.2167205810547,63.33722686767578,194.79364013671875,516.0111083984375,F,1
Male,95,Less than 25,Asian,5,6,12,6,35,986.35498046875,592.94091796875,7404.96533203125,7544.77880859375,F,0
Male,64,Greater than 45,African-American,4,5,1,1,6,497.140380859375,63.19275665283203,1129.6263427734375,696.5322875976562,F,0
Female,61,25 - 45,African-American,4,8,1,1,4,102.31463623046875,38.09581756591797,189.43869018554688,981.7316284179688,F,1
Male,73,25 - 45,Hispanic,4,5,6,2,10,-322.6003723144531,176.92649841308594,3932.40625,3424.8134765625,M,0
Female,95,Greater than 45,Asian,4,5,8,2,21,-375.1751708984375,209.76467895507812,4588.91064453125,7106.5732421875,M,0
Male,60,25 - 45,African-American,4,9,0,0,2,354.1134033203125,33.45726776123047,16.271148681640625,515.7901611328125,F,0
Female,87,25 - 45,Other,4,5,11,4,17,-412.33148193359375,601.6582641601562,4611.9228515625,7114.66796875,M,0
Male,88,25 - 45,Asian,4,5,12,6,28,658.36962890625,265.18133544921875,4994.1513671875,7350.25244140625,F,0
Male,59,25 - 45,African-American,4,6,1,0,3,-9.79974365234375,44.07037353515625,673.6041259765625,516.751953125,M,0
Female,66,25 - 45,African-American,4,6,4,1,5,352.169921875,187.63934326171875,4272.4482421875,1796.5579833984375,F,0
Female,60,25 - 45,African-American,4,6,1,0,2,-16.9886474609375,60.91226577758789,480.41412353515625,1060.91455078125,M,1
Male,66,25 - 45,Hispanic,4,5,2,5,17,955.255615234375,515.9283447265625,4081.6640625,2789.424560546875,F,0
Female,60,25 - 45,African-American,4,8,1,0,3,30.049957275390625,56.875213623046875,418.0037841796875,603.2490844726562,F,1
Male,63,25 - 45,African-American,4,6,1,0,3,197.458984375,85.83068084716797,1066.1865234375,953.3993530273438,F,0
Male,60,25 - 45,African-American,4,5,0,0,2,-179.05345153808594,138.4814453125,1116.818359375,1203.2666015625,M,1
Male,58,25 - 45,African-American,4,8,1,0,5,507.79595947265625,32.347084045410156,435.23919677734375,883.9310913085938,F,0
Male,74,25 - 45,African-American,4,6,6,3,16,-242.54690551757812,354.452392578125,6875.01953125,1835.8897705078125,M,1
Male,86,Less than 25,Caucasian,4,5,10,4,30,186.17962646484375,94.27687072753906,1854.5400390625,6637.94189453125,F,0
Male,59,25 - 45,African-American,4,8,1,0,3,300.6669921875,28.941078186035156,417.6695556640625,561.9878540039062,F,1
