sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,50,Greater than 45,African-American,0,1,0,0,0,-0.9808155219380199,0.706800805701632,0.00013282890852303608,0.9934679032007592,F,0
Male,21,Less than 25,African-American,0,7,0,0,2,-1.0007946554770477,33.162950631314246,0.001877565512939272,0.9956487010938773,M,0
Male,33,25 - 45,African-American,1,5,0,0,12,-0.6945787255775705,0.7041718957245349,0.12952242623865734,1.0197944596569641,M,1
Female,44,25 - 45,Caucasian,0,1,0,0,0,-1.004287439936126,0.5097021027646541,-0.00025669472210074207,0.9973347431002206,F,0
Female,24,25 - 45,Caucasian,0,2,0,0,0,-0.9943920277490277,0.41854387471755283,-0.0029379851557540526,0.9962923417939138,F,0
Male,23,Less than 25,African-American,0,2,0,0,0,-1.009313522298503,0.5181039448766203,-0.0006338812359079904,0.9922073390597506,F,1
Male,30,25 - 45,African-American,0,2,0,0,7,-1.0238557857340962,0.677593715138059,0.00027939060434500895,1.0029038707604445,F,1
Male,42,25 - 45,African-American,0,1,0,0,0,4.3838971476595425,0.34345095717177443,-0.0016422728565585742,-36.434035306148786,F,0
Male,44,Greater than 45,African-American,0,9,0,0,2,-9.062579846426065,8.316319564869353,0.01031750501061017,-55.53514835201213,F,0
Male,21,Less than 25,Hispanic,0,7,0,0,0,-0.7477215626894883,0.1067489858792598,0.0032938136791535177,0.6224730299954424,M,0
Male,32,25 - 45,Other,0,1,0,0,0,-0.9996891284122277,33.17333287985652,0.0017489200748994627,1.0001316210045688,F,0
Male,20,Less than 25,African-American,0,3,0,0,0,-1.0024798287207948,25.828663940492575,0.0013641016214470392,0.9882177022777457,M,0
Male,71,Greater than 45,Caucasian,0,0,0,0,0,-0.7870337716941901,0.3421977740305539,2.6784580697353233e-05,0.7897989674400222,M,0
Male,59,Greater than 45,African-American,0,1,0,0,0,-0.9780980666803846,0.45542276412369803,-5.381317339805958e-05,0.9963210832843596,M,0
Male,28,25 - 45,Caucasian,0,8,0,0,5,-1.0014338005588228,1.0157447790338108,-0.0013540578894800093,0.9965922264827138,F,1
Male,20,Less than 25,African-American,0,5,0,0,1,-0.9888700824883374,37.911812651858426,0.002119267313898221,0.991475008478361,M,0
Male,34,25 - 45,African-American,0,8,0,0,2,-0.9934542994929223,0.6079291625176113,0.002530121758523546,0.9956682946155807,F,0
Male,33,25 - 45,Caucasian,0,1,0,0,0,-0.3658688718439971,-0.7679035411589218,-0.002647321057577645,0.32215969722465276,M,0
Male,20,Less than 25,African-American,0,3,0,0,3,-32.80987242710766,0.017973441315149885,-0.006571418493765135,42.967761450153446,F,1
Male,32,25 - 45,Hispanic,0,0,0,0,0,-0.9549915030088656,1.1800266162780693,0.003654618453003411,0.977397796269531,M,0
Male,32,25 - 45,Hispanic,0,1,0,0,0,-0.8569223456682398,24.485664031207513,0.03020581128263708,0.9382564991943064,F,0
Female,55,Greater than 45,Caucasian,0,1,0,0,0,-1.014248839440215,0.7605909056949542,0.000372630346347963,1.0047611290044545,F,0
Male,25,25 - 45,African-American,0,5,0,0,5,-0.4724036677853555,1.205224813373913,0.17246505448209803,0.8285357101954399,M,0
Male,21,Less than 25,African-American,0,3,0,0,0,-0.9996550606091089,0.030397357536366854,0.00013089805827992684,0.9910953093842645,F,0
Male,22,Less than 25,African-American,0,5,0,0,2,0.09652045757438632,0.7248195010656167,0.11436215667410547,0.06487859107957072,F,1
Male,23,25 - 45,Caucasian,0,3,0,0,0,-0.720291726579497,1.2584435015649489,0.23573953522976315,0.9839502072990546,F,1
Male,21,Less than 25,Other,0,2,0,0,0,-1.0109186427368817,-0.36291979611527125,0.0006091595011293027,0.9941389748311804,M,0
Male,60,Greater than 45,Other,0,2,0,0,0,-1.0008566220094355,0.7168803123609281,0.001640375804127403,0.9957296184457598,F,0
Male,20,Less than 25,African-American,0,3,0,0,0,-1.01025891472165,0.8083428372654637,0.0022623839663916956,0.9929368798350696,F,1
Male,40,25 - 45,African-American,0,1,0,0,0,-0.9797856059453967,0.6426241991825175,0.00024150529010119604,0.9958447011901226,F,0
Male,53,Greater than 45,Caucasian,0,0,0,0,0,-0.9794821455738579,-0.4884566265085023,-2.4088242023823092e-05,0.9931308556999336,F,0
Male,20,Less than 25,African-American,0,3,0,0,0,-1.0187030849453853,15.848607173692752,0.007342664365785498,1.0015850710396974,F,1
Male,45,25 - 45,Caucasian,0,0,0,0,1,-8.321590792918553,0.7103141166406111,-0.0023547870833763307,-5.34945455721919,M,0
Male,23,25 - 45,Hispanic,0,7,0,0,5,-1.0059008777376008,123.8618465800913,0.0016808728473842738,1.0059733451574717,F,1
Male,23,Less than 25,Caucasian,0,2,0,0,0,-0.00022722608574077263,0.3170894822793805,0.018178291059044185,0.087504619005634,M,0
Male,41,Less than 25,African-American,0,9,0,0,5,281.6600066614907,25.771857937704034,294.60074124606774,59.50617124300808,F,0
Male,34,25 - 45,African-American,0,7,0,0,5,-0.07788132135591008,0.9131163772328732,0.43822964977630063,-139.9860976134876,F,0
Male,29,25 - 45,Hispanic,0,4,0,0,1,-1.00268908370578,-0.2335849745092331,0.0008388595434718482,0.9988102001636998,M,1
Female,29,25 - 45,African-American,0,9,0,0,29,-0.9917939622147209,30.181486118022164,-0.00010988912940596007,1.0072812711224655,F,1
Male,20,Less than 25,African-American,0,5,0,0,0,-0.9685088002263833,0.9257519271341956,0.0007570219802729428,0.9870548916438582,F,1
Male,22,25 - 45,African-American,0,5,0,0,5,850.0973193962116,17.398836239022955,0.6714739608250921,165.3843256692212,F,1
Male,34,25 - 45,African-American,0,5,0,0,6,0.15648768747796704,-0.3900229121624461,0.7363812599996609,0.3271477147683426,F,1
Male,33,25 - 45,Caucasian,0,0,0,0,2,0.13186068660769235,0.09701580304899965,0.3419261362312732,0.061493972403330766,M,1
Male,24,25 - 45,African-American,0,9,0,0,8,-1.0115287278519574,1.8603605755106756,-9.552970101900371e-05,1.0059392446442024,F,1
Male,58,Greater than 45,African-American,0,5,0,0,2,41.02534604834946,8.753121474864052,551.8066807389621,16.935649806117908,F,0
Male,20,Less than 25,Caucasian,0,3,0,0,2,-1.0202837903667867,1.7513845542134803,0.00031021307164691425,0.9985000775354137,F,1
Male,29,25 - 45,African-American,0,7,0,0,7,-0.9910845477529298,30.637530434798258,0.00017642547453858293,0.9966887667485903,F,1
Male,24,25 - 45,African-American,1,5,0,0,2,-0.3677305676926559,-0.14354154635677463,0.00937352248912196,0.5510159234733567,F,1
Male,33,25 - 45,African-American,0,3,0,0,5,-1.0126821559607875,1.0783786119966865,0.001398389456816862,1.0020687066297174,F,1
Male,22,Less than 25,Hispanic,0,4,0,0,2,-1.0058884089506903,16.310043056477294,-5.059170220297893e-05,0.9980687605410945,M,1
Male,21,Less than 25,African-American,0,3,0,0,0,-1.000386857922374,1.025622712106917,0.001011294632551507,0.9911665078303484,M,1
