sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,68,25 - 45,Caucasian,4,5,1,3,12,84.33590698242188,177.90550231933594,2069.728515625,1866.95849609375,M,0
Male,87,Less than 25,Hispanic,4,5,4,5,6,-295.5384826660156,157.83718872070312,2575.490478515625,2456.481689453125,M,1
Male,66,25 - 45,African-American,4,6,3,1,3,449.131591796875,77.86351013183594,1535.582275390625,2798.494384765625,M,1
Male,69,25 - 45,African-American,4,5,2,4,21,-242.5968780517578,157.3376007080078,2666.45361328125,1329.6925048828125,F,0
Male,62,25 - 45,African-American,4,5,2,1,7,170.781494140625,166.64999389648438,2048.504150390625,1329.72607421875,M,1
Male,61,25 - 45,Hispanic,4,5,2,2,7,56.166351318359375,254.3134307861328,1591.6317138671875,1248.65576171875,M,0
Female,66,25 - 45,African-American,4,6,4,1,9,408.1148681640625,116.17881774902344,1155.4591064453125,2275.68115234375,F,1
Female,67,Less than 25,Hispanic,4,6,4,1,24,-198.8483123779297,109.86682891845703,1875.72998046875,1370.9364013671875,F,1
Male,63,25 - 45,African-American,4,6,5,1,33,175.9056396484375,48.58000183105469,2624.064697265625,2090.13525390625,F,1
Male,72,25 - 45,African-American,4,5,5,1,15,-123.49957275390625,100.19728088378906,3088.963134765625,1367.4873046875,F,0
Male,65,25 - 45,Caucasian,4,6,0,4,11,-25.0576171875,101.6540298461914,822.3499755859375,1218.8489990234375,F,0
Male,69,25 - 45,Other,4,5,7,0,35,-64.75543212890625,100.42798614501953,2085.9423828125,1016.3825073242188,F,0
Male,65,25 - 45,African-American,4,5,4,2,4,2.578460693359375,118.42549133300781,4067.65966796875,2449.719970703125,M,0
Male,63,25 - 45,Asian,4,5,1,1,11,182.0384521484375,120.42398834228516,2390.936279296875,3619.810791015625,M,1
Male,61,25 - 45,Asian,4,6,8,1,7,-19.818756103515625,135.00367736816406,2726.14013671875,1419.4586181640625,F,0
Female,65,25 - 45,Other,4,5,2,1,4,-45.729400634765625,203.71142578125,2737.739990234375,2119.65771484375,F,0
Male,66,25 - 45,Caucasian,4,6,3,1,16,196.33880615234375,245.4522705078125,1208.8822021484375,1765.937744140625,M,0
Female,65,25 - 45,Hispanic,4,6,6,2,9,882.3868408203125,269.8202819824219,1025.5582275390625,2734.04638671875,M,1
Male,64,25 - 45,Asian,4,6,7,6,22,134.55535888671875,259.1150817871094,1850.617431640625,1195.4483642578125,F,0
Male,64,25 - 45,Asian,4,6,10,1,28,492.16278076171875,401.5052795410156,3903.78466796875,1128.7835693359375,F,0
Male,68,25 - 45,Native American,4,5,1,0,11,-117.632568359375,175.0072021484375,1004.0460205078125,978.6503295898438,F,0
Male,64,25 - 45,Asian,4,5,2,0,3,45.231231689453125,379.0079650878906,1916.22119140625,2318.152099609375,M,0
Male,69,25 - 45,Hispanic,4,5,1,3,14,-70.761474609375,440.5281982421875,1300.682861328125,1300.7939453125,M,0
Male,70,25 - 45,Caucasian,4,6,1,2,23,155.05865478515625,220.37010192871094,2925.0830078125,2445.533447265625,M,0
Female,77,25 - 45,Hispanic,4,5,1,2,14,42.8978271484375,68.88182830810547,1564.1729736328125,2684.90478515625,M,0
Male,69,25 - 45,African-American,4,5,1,1,18,317.34124755859375,201.70639038085938,2841.234619140625,1368.6484375,F,1
Male,62,25 - 45,Asian,4,5,2,2,14,230.3642578125,69.7856674194336,1473.383544921875,2265.564697265625,M,0
Male,75,Greater than 45,Asian,4,5,0,1,7,-193.16317749023438,417.4406433105469,1168.701416015625,1682.21728515625,M,0
Male,78,25 - 45,African-American,4,5,1,3,12,362.39208984375,318.02264404296875,1089.3970947265625,4456.2626953125,M,0
Male,68,Greater than 45,African-American,5,6,12,6,27,570.6824340820312,521.5894165039062,974.5899658203125,1429.9605712890625,F,1
Male,71,25 - 45,Asian,4,5,1,1,10,-198.66531372070312,253.34994506835938,2489.926025390625,1177.8592529296875,F,0
Male,62,25 - 45,African-American,4,6,8,2,21,-120.052978515625,227.21543884277344,1243.06591796875,1210.449951171875,M,0
Male,89,Greater than 45,African-American,4,6,8,2,6,273.800537109375,68.69705200195312,6796.98974609375,4147.07177734375,M,1
Female,65,Less than 25,Caucasian,4,6,2,2,8,27.79937744140625,167.03382873535156,1829.7578125,2376.37060546875,M,0
Male,66,25 - 45,African-American,4,7,5,2,29,-47.400115966796875,181.45138549804688,1111.558349609375,1524.8817138671875,F,1
Male,63,25 - 45,Asian,4,5,1,6,18,-100.98971557617188,72.31241607666016,612.19189453125,1965.7666015625,F,0
Male,74,25 - 45,Caucasian,4,5,6,2,3,236.78131103515625,185.18392944335938,2548.547607421875,2418.548583984375,M,0
Male,66,25 - 45,Hispanic,4,5,4,1,11,460.61456298828125,316.3641662597656,378.56866455078125,1406.5958251953125,M,1
Male,74,25 - 45,African-American,4,6,2,2,6,5.400421142578125,242.744873046875,764.1732177734375,925.150390625,M,0
Male,64,25 - 45,Other,4,5,2,1,11,129.07611083984375,126.02600860595703,1507.3316650390625,1204.912109375,M,1
Male,67,25 - 45,African-American,4,7,4,1,3,-273.4959716796875,74.60074615478516,3022.70166015625,1420.1322021484375,M,1
Male,63,25 - 45,African-American,4,6,5,1,4,129.87518310546875,223.9608154296875,2512.329833984375,3489.69140625,F,1
Male,63,25 - 45,African-American,4,6,2,1,13,412.86187744140625,50.52474594116211,2919.322265625,1935.8721923828125,M,0
Male,68,25 - 45,Hispanic,4,5,6,1,19,440.0029296875,63.75127410888672,1767.088623046875,3224.432373046875,F,1
Male,64,25 - 45,Hispanic,4,5,10,1,8,922.6065673828125,41.91315841674805,1324.744384765625,2461.698486328125,M,1
Male,64,25 - 45,African-American,4,5,2,6,2,343.10211181640625,59.14665222167969,4529.91748046875,2342.955810546875,F,1
Female,61,25 - 45,Caucasian,4,6,1,3,11,-42.455169677734375,214.09146118164062,2533.71630859375,957.1004638671875,M,0
Male,68,25 - 45,African-American,4,7,5,6,13,-85.24066162109375,310.71600341796875,2693.026611328125,2169.52197265625,M,1
Male,67,25 - 45,Hispanic,4,6,3,3,3,-241.04591369628906,182.6300811767578,7024.85107421875,882.0401611328125,F,0
Female,62,25 - 45,Hispanic,4,5,1,1,9,651.4136962890625,74.32329559326172,4201.03271484375,2523.234619140625,F,1
Male,68,25 - 45,African-American,4,6,5,3,8,475.00469970703125,132.597412109375,1758.892578125,1543.072265625,F,1
Male,67,25 - 45,Other,4,6,1,2,5,70.81991577148438,45.74458694458008,1714.1810302734375,1458.849609375,F,0
Male,66,25 - 45,African-American,4,5,3,1,18,-23.6033935546875,252.69680786132812,1304.941162109375,1401.916748046875,M,0
Male,62,25 - 45,African-American,4,6,3,3,31,-102.4278564453125,167.4375762939453,4980.1865234375,1302.7509765625,F,0
Male,78,25 - 45,African-American,4,6,6,1,5,-148.13259887695312,132.9075469970703,2164.1064453125,4780.2734375,M,0
Female,75,Greater than 45,Caucasian,4,5,2,0,2,69.02651977539062,584.8234252929688,2566.546630859375,2161.449951171875,M,1
Male,77,Less than 25,Hispanic,4,5,3,1,34,19.683807373046875,142.9617462158203,1227.7493896484375,4889.72021484375,M,1
Male,61,25 - 45,African-American,4,6,2,1,8,-39.049835205078125,153.87420654296875,3155.7646484375,1639.3192138671875,F,0
Male,65,25 - 45,African-American,4,6,4,1,9,277.55548095703125,20.83978843688965,3189.397216796875,2519.73046875,M,1
Male,62,25 - 45,Caucasian,4,5,2,1,3,-39.746826171875,413.4420471191406,3175.530517578125,1637.7158203125,F,1
Male,79,Greater than 45,African-American,4,5,3,0,9,294.4385986328125,229.99728393554688,1355.654541015625,5656.67333984375,M,0
Male,63,25 - 45,Other,4,6,3,2,11,-49.887451171875,236.52679443359375,5570.37548828125,1402.3277587890625,F,1
Female,65,25 - 45,African-American,4,6,4,2,7,-19.138671875,120.7742919921875,1726.8448486328125,1875.18017578125,M,0
Male,66,25 - 45,African-American,4,5,4,1,15,75.99191284179688,402.4986572265625,1776.6845703125,1297.7222900390625,F,1
Male,63,25 - 45,African-American,4,6,2,4,21,-49.085174560546875,428.0922546386719,1206.35302734375,1475.2623291015625,F,1
Male,67,25 - 45,Asian,4,5,3,1,8,-65.44802856445312,339.8173522949219,1696.3707275390625,1555.89697265625,M,1
Female,72,Less than 25,Hispanic,4,6,4,1,7,-27.780487060546875,108.78284454345703,1126.6123046875,1547.8878173828125,F,1
Male,64,25 - 45,Asian,4,5,2,3,20,38.14483642578125,33.695594787597656,1968.29541015625,2228.266357421875,M,1
Male,72,Less than 25,Other,4,5,3,0,5,-220.63055419921875,139.89553833007812,1151.2781982421875,826.54150390625,F,0
Female,62,25 - 45,African-American,4,6,7,0,13,-288.419677734375,289.19085693359375,4585.21044921875,1858.8680419921875,F,1
Male,67,25 - 45,Asian,4,5,2,1,5,-158.14988708496094,396.3565368652344,2149.458740234375,1650.651123046875,F,0
Male,66,25 - 45,African-American,4,5,2,3,6,-89.489013671875,153.57615661621094,1749.91748046875,1350.662353515625,F,1
Male,71,25 - 45,Hispanic,4,5,10,5,8,143.615234375,306.7513732910156,943.236083984375,1712.5220947265625,F,1
Male,63,25 - 45,African-American,4,5,2,2,8,-45.49432373046875,77.28335571289062,4642.09521484375,1798.6134033203125,M,1
Male,63,25 - 45,African-American,4,6,1,2,5,-141.02804565429688,105.8311767578125,2232.996337890625,688.1644897460938,M,0
Male,74,25 - 45,Asian,4,5,2,0,2,-109.3529052734375,151.30299377441406,3239.371826171875,1954.1947021484375,F,0
Male,63,25 - 45,African-American,4,5,0,0,2,-159.88970947265625,165.2464141845703,5622.10400390625,1717.3143310546875,F,0
Male,64,25 - 45,Hispanic,4,5,1,1,12,-47.140106201171875,344.1531677246094,1312.8094482421875,2538.073974609375,F,0
Male,64,25 - 45,Asian,4,6,1,0,7,-87.05160522460938,409.24676513671875,1176.6318359375,1107.5792236328125,M,1
Female,71,25 - 45,African-American,4,6,9,0,35,390.67633056640625,365.5198669433594,3886.01806640625,1649.8690185546875,F,0
Male,69,25 - 45,African-American,4,6,1,2,13,74.42291259765625,310.7815856933594,824.65087890625,1946.577880859375,M,0
Male,67,25 - 45,African-American,4,6,4,5,33,-132.71844482421875,232.6325225830078,1290.4324951171875,1964.519775390625,M,0
Female,67,25 - 45,Asian,4,5,2,0,26,37.759368896484375,192.75193786621094,1389.1749267578125,786.52685546875,F,0
Male,70,25 - 45,African-American,4,6,6,1,17,-5.544097900390625,186.53033447265625,2687.073974609375,1123.569580078125,F,0
Male,64,25 - 45,Caucasian,4,6,4,1,9,40.2830810546875,326.9452819824219,1590.5977783203125,1057.947265625,M,0
Female,67,25 - 45,Hispanic,4,5,2,6,27,10.126190185546875,316.07220458984375,3990.97607421875,2653.918701171875,F,0
Male,95,Greater than 45,Caucasian,4,5,8,2,4,907.8841552734375,215.2310028076172,2824.95654296875,4649.0703125,F,0
Female,67,25 - 45,African-American,4,5,1,0,15,180.25677490234375,112.85433197021484,2260.555419921875,3286.872802734375,M,1
Male,69,25 - 45,Other,4,5,9,0,14,182.411376953125,73.7228012084961,3416.574951171875,2832.041259765625,M,0
Male,74,Greater than 45,Hispanic,4,6,8,1,16,2.527862548828125,554.4456176757812,2257.357666015625,900.7764282226562,F,1
Male,63,25 - 45,African-American,4,5,2,1,5,-42.37518310546875,108.95928192138672,4276.85205078125,1220.7998046875,F,0
Male,64,25 - 45,Asian,4,6,1,1,17,224.21331787109375,349.0433044433594,1743.57373046875,1479.2152099609375,F,1
Male,65,25 - 45,Hispanic,4,5,2,1,34,-242.9833526611328,58.78511428833008,923.3221435546875,2135.376953125,F,0
Male,72,25 - 45,African-American,4,5,1,1,4,-186.687255859375,123.3758773803711,5647.6533203125,2017.652587890625,M,0
Female,65,25 - 45,Hispanic,4,6,1,6,22,-180.2038116455078,337.0597229003906,1064.4423828125,2172.76220703125,F,0
Male,62,25 - 45,Asian,4,5,0,2,6,-25.056549072265625,138.83407592773438,3887.8984375,1283.9168701171875,M,1
Male,69,25 - 45,Caucasian,4,5,6,2,32,33.220794677734375,74.06944274902344,3046.006591796875,2967.701171875,M,0
Female,90,Greater than 45,African-American,4,5,8,2,24,45.56787109375,87.43280029296875,1970.17138671875,2421.381591796875,F,0
Male,72,25 - 45,Hispanic,4,5,6,4,32,120.3433837890625,37.16252136230469,2234.83056640625,2817.90087890625,F,1
Male,63,25 - 45,African-American,4,6,5,1,3,110.62481689453125,157.67677307128906,2568.41455078125,1416.2891845703125,M,1
Male,63,25 - 45,African-American,4,5,2,1,11,32.73516845703125,131.71759033203125,2133.9580078125,2034.1470947265625,F,0
Female,64,25 - 45,African-American,4,6,4,2,11,256.849609375,183.97952270507812,1682.6697998046875,1722.19384765625,M,1
Male,61,25 - 45,Asian,4,5,9,0,8,527.596435546875,75.78297424316406,3394.0361328125,1870.377197265625,M,0
Male,65,25 - 45,African-American,4,5,6,1,11,140.73516845703125,230.65499877929688,2760.490234375,1173.6470947265625,F,1
Male,69,25 - 45,Native American,4,5,3,2,9,18.146697998046875,109.73409271240234,3502.6259765625,2463.419921875,M,0
Male,64,25 - 45,African-American,4,6,1,3,31,-308.5791931152344,307.3587951660156,1429.755859375,1385.3863525390625,F,0
Male,76,Less than 25,Hispanic,4,5,3,1,16,-151.95870971679688,245.8662872314453,1186.7374267578125,1670.4898681640625,F,0
Male,71,25 - 45,African-American,4,6,3,2,4,623.008544921875,169.90650939941406,1991.545166015625,2082.606201171875,M,1
Female,67,25 - 45,Other,4,5,4,4,16,45.592071533203125,275.15020751953125,2906.14404296875,5733.02978515625,M,0
Male,63,25 - 45,Hispanic,4,6,5,0,24,95.82693481445312,120.48329162597656,3274.448486328125,1463.3089599609375,M,0
Male,67,25 - 45,Hispanic,4,5,4,1,15,53.7197265625,161.10610961914062,2457.2109375,1644.6224365234375,F,1
Female,88,Greater than 45,Caucasian,4,5,1,2,5,167.59442138671875,215.35244750976562,2119.215576171875,1429.1956787109375,F,0
Male,64,25 - 45,Hispanic,4,5,11,1,10,523.480224609375,53.27253723144531,3013.43603515625,1812.2613525390625,F,0
Male,62,25 - 45,Hispanic,4,5,2,4,17,119.32550048828125,299.4697570800781,1216.2645263671875,1306.695068359375,M,1
Male,65,25 - 45,Hispanic,4,5,5,3,3,-331.47491455078125,551.081298828125,4701.8623046875,1133.8309326171875,F,1
Male,69,25 - 45,Hispanic,4,6,6,3,8,94.4527587890625,276.8326110839844,1261.1905517578125,1845.934814453125,M,1
Male,64,Less than 25,Caucasian,4,6,2,2,8,30.675140380859375,140.77906799316406,1046.8602294921875,1504.4544677734375,M,1
Male,67,25 - 45,Hispanic,4,5,10,1,22,843.800537109375,140.93531799316406,5484.501953125,2610.544677734375,F,0
Male,65,25 - 45,Asian,4,6,2,1,10,-31.8974609375,149.29498291015625,1590.89453125,1664.176025390625,M,0
Male,63,25 - 45,African-American,4,5,2,6,11,-8.34576416015625,316.9338073730469,1063.876953125,1753.3382568359375,F,0
Male,63,25 - 45,Asian,4,5,3,1,9,2.109344482421875,350.2914123535156,1700.7354736328125,2237.220458984375,M,0
Male,62,25 - 45,African-American,4,6,4,4,17,19.253173828125,144.9149169921875,2483.712890625,2366.375,F,1
Male,65,25 - 45,Hispanic,4,6,0,1,33,-8.713714599609375,118.4033203125,5260.8671875,4592.27783203125,M,0
Male,66,25 - 45,African-American,4,7,4,4,20,-52.211029052734375,39.86579895019531,4341.04052734375,2213.30517578125,F,0
Male,70,25 - 45,African-American,4,5,7,3,5,591.2218017578125,121.4681625366211,2085.067138671875,5785.98388671875,M,1
Female,65,25 - 45,African-American,4,6,1,1,8,251.76025390625,422.8922119140625,1909.783447265625,3152.6748046875,F,1
Male,69,25 - 45,African-American,4,5,0,1,35,-47.707916259765625,213.79193115234375,1984.8271484375,2060.781005859375,F,0
Female,72,25 - 45,Asian,4,5,1,1,4,133.365234375,449.5772705078125,855.6689453125,3989.94921875,M,0
Male,68,25 - 45,African-American,4,7,1,4,13,-11.614654541015625,361.578125,1755.74267578125,1578.60302734375,F,0
Female,77,Greater than 45,African-American,4,5,3,2,4,136.98553466796875,262.9185791015625,2038.737060546875,2249.49365234375,F,0
Female,61,25 - 45,Asian,4,6,4,6,17,105.9322509765625,30.829378128051758,1425.9139404296875,1642.117919921875,M,1
Male,65,25 - 45,Asian,4,6,8,0,22,204.16864013671875,101.14405059814453,1765.506103515625,2044.7938232421875,F,1
Male,77,Greater than 45,Asian,4,5,0,5,9,115.6456298828125,385.0612487792969,1045.2108154296875,3155.6376953125,M,0
Male,64,25 - 45,Other,4,5,11,3,16,283.09771728515625,44.33010482788086,1397.9610595703125,1158.8079833984375,F,0
Male,64,25 - 45,Asian,4,5,6,1,4,50.18218994140625,240.93923950195312,2594.116455078125,1242.33056640625,M,0
Male,62,25 - 45,Other,4,6,2,2,27,-80.64718627929688,314.2217712402344,2101.53271484375,1711.0673828125,F,0
Male,70,25 - 45,Caucasian,4,5,1,2,18,381.4827880859375,127.25617980957031,2927.53759765625,2760.575439453125,F,0
Male,61,25 - 45,African-American,4,6,6,3,19,166.8978271484375,123.72704315185547,1855.5390625,1693.8145751953125,F,0
Male,65,25 - 45,African-American,4,5,4,4,21,-139.172119140625,137.2285614013672,1509.4078369140625,1298.7393798828125,M,1
Female,62,25 - 45,Asian,4,6,2,2,11,60.18035888671875,72.9695053100586,1041.6103515625,3013.145751953125,F,0
Female,77,Greater than 45,African-American,4,6,5,3,16,-95.25836181640625,459.2575378417969,3134.224609375,1545.9534912109375,M,1
Female,68,25 - 45,Hispanic,4,5,4,3,20,288.32171630859375,409.8954772949219,1201.3953857421875,1057.1490478515625,M,0
Male,66,25 - 45,African-American,4,6,7,1,15,17.711456298828125,54.03701400756836,1378.3778076171875,3650.8330078125,F,0
Male,72,Greater than 45,African-American,4,5,4,1,8,87.82171630859375,501.93865966796875,1256.874755859375,3043.939208984375,M,1
Female,66,25 - 45,African-American,4,6,3,1,4,251.7657470703125,104.08001708984375,4066.8623046875,2181.9833984375,F,1
Female,69,25 - 45,Native American,4,6,4,0,3,167.4263916015625,350.7646484375,1040.990234375,2553.816650390625,M,1
Male,68,Less than 25,Hispanic,4,5,1,1,14,132.99578857421875,232.0311737060547,717.73046875,1943.303955078125,F,1
Male,65,25 - 45,Caucasian,4,5,5,1,12,93.11367797851562,339.7815856933594,1936.56298828125,2746.34375,F,0
Male,64,25 - 45,Caucasian,4,6,2,3,12,93.82028198242188,93.3344497680664,1219.2156982421875,1581.618896484375,M,1
Female,64,25 - 45,African-American,4,6,1,5,33,310.23529052734375,347.44683837890625,1920.15185546875,1492.1409912109375,F,0
Female,69,25 - 45,Other,4,5,0,0,35,141.8721923828125,391.04852294921875,1796.02978515625,1465.0836181640625,F,0
Male,68,25 - 45,African-American,4,6,7,1,28,-298.76641845703125,34.92668533325195,2199.7392578125,716.8145141601562,F,1
Male,71,25 - 45,African-American,4,6,6,5,6,62.630828857421875,62.9553108215332,5780.44970703125,2447.2509765625,M,0
Male,76,25 - 45,African-American,4,6,6,3,8,486.172607421875,315.6106262207031,2896.82666015625,2102.4462890625,F,0
Male,76,25 - 45,African-American,4,6,11,0,10,284.2835693359375,316.0175476074219,658.06494140625,3020.8232421875,F,0
Male,68,25 - 45,African-American,4,5,1,1,3,-83.08660888671875,261.0862731933594,3184.88037109375,971.9730834960938,F,0
Male,65,25 - 45,Hispanic,4,5,0,3,13,-36.202972412109375,439.1329040527344,2327.547119140625,2098.634765625,M,0
Female,66,25 - 45,African-American,4,5,2,2,5,-55.607177734375,196.1244354248047,2409.57568359375,2266.204345703125,F,0
Male,62,25 - 45,Asian,4,6,1,6,14,163.12872314453125,71.26187896728516,1606.364501953125,1403.1644287109375,F,0
