sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,25,Less than 25,African-American,0,2,0,0,0,-3.287139892578125,-0.8806558847427368,20.755828857421875,3.203455924987793,F,0
Male,26,25 - 45,African-American,0,3,0,0,1,-1.9932861328125,-0.5549530982971191,16.08013916015625,0.42717278003692627,M,1
Male,49,Greater than 45,Caucasian,0,1,0,0,0,2.53814697265625,-0.9813822507858276,-15.95660400390625,9.01527214050293,F,0
Male,30,25 - 45,African-American,0,2,0,0,2,0.662872314453125,-0.838801920413971,-4.19927978515625,1.1482676267623901,M,1
Male,25,25 - 45,African-American,0,9,0,0,8,-8.3916015625,18.014921188354492,11.2174072265625,0.8930970430374146,M,1
Male,58,Greater than 45,African-American,0,1,0,0,0,1.49114990234375,-0.5553485155105591,-12.358673095703125,9.610594749450684,F,0
Male,31,25 - 45,Caucasian,0,3,0,0,1,-1.459625244140625,-0.8923009634017944,3.376708984375,0.19307756423950195,F,0
Male,23,Less than 25,African-American,0,8,0,2,1,5.488311767578125,-0.9967472553253174,9.3619384765625,3.3777241706848145,M,1
Female,21,Less than 25,African-American,0,5,0,0,0,-2.138946533203125,4.021975994110107,71.86416625976562,24.967512130737305,M,0
Male,24,25 - 45,African-American,0,9,0,0,0,-3.9212646484375,14.416304588317871,-10.134124755859375,0.40768373012542725,F,1
Male,24,Less than 25,African-American,0,9,0,2,4,-1.757843017578125,5.6007466316223145,-13.82177734375,0.4892657995223999,F,1
Male,34,25 - 45,African-American,0,1,0,0,0,2.652313232421875,-0.9514249563217163,10.005401611328125,0.637926459312439,F,0
Male,36,25 - 45,African-American,0,3,0,0,9,40.351593017578125,-0.6220920085906982,77.74224853515625,66.34526062011719,F,1
Male,36,25 - 45,African-American,0,1,0,0,2,-0.797576904296875,0.18432962894439697,-12.45428466796875,0.3823026418685913,M,1
Male,31,25 - 45,African-American,0,7,0,0,1,-0.330963134765625,-0.9764403104782104,-7.452392578125,0.2223111391067505,F,0
Male,32,25 - 45,Caucasian,0,2,0,0,2,0.3841552734375,-0.9996225833892822,4.035003662109375,1.0227218866348267,F,0
Male,55,Greater than 45,African-American,0,3,0,0,1,-0.173736572265625,-0.9934406280517578,6.379913330078125,3.3731918334960938,M,0
Male,21,Less than 25,African-American,0,6,0,0,0,-6.374053955078125,-0.6876494884490967,-11.56353759765625,1.2914894819259644,M,1
Male,33,25 - 45,African-American,0,4,0,0,2,-0.664794921875,7.315646171569824,3.023162841796875,0.805849552154541,M,0
Male,44,Greater than 45,Caucasian,0,1,0,0,0,2.116943359375,-0.2835581302642822,-17.2164306640625,0.035352230072021484,F,0
Male,42,25 - 45,Caucasian,0,2,0,0,5,-37.22235107421875,42.001914978027344,3.540618896484375,3.1338844299316406,F,0
