sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,20,25 - 45,African-American,0,1,0,0,0,-330.4913330078125,19.949750900268555,-7.808746337890625,204.75625610351562,F,0
Male,26,25 - 45,African-American,0,4,1,0,3,-33.731719970703125,54.51093292236328,356.2078857421875,665.6253662109375,F,0
Male,31,25 - 45,African-American,1,5,1,0,3,208.66375732421875,72.65725708007812,481.3948974609375,731.2490844726562,F,0
Male,30,25 - 45,Caucasian,0,2,1,0,3,-145.785888671875,67.42035675048828,385.28448486328125,681.7269897460938,F,1
Male,23,25 - 45,Caucasian,0,7,1,0,3,35.1024169921875,64.25725555419922,458.1014404296875,706.3373413085938,F,1
Male,24,25 - 45,African-American,0,2,0,0,2,-284.9252624511719,37.397499084472656,120.86312866210938,425.6123046875,F,0
Male,30,25 - 45,African-American,0,3,1,0,3,-20.254638671875,55.617698669433594,308.51043701171875,617.1647338867188,F,0
Male,71,25 - 45,Caucasian,2,9,4,2,15,727.901611328125,234.93609619140625,2306.56396484375,3199.048095703125,F,1
Male,25,25 - 45,African-American,0,2,0,0,1,-178.02865600585938,41.04718017578125,174.1251220703125,451.5696716308594,F,0
Male,26,25 - 45,Caucasian,0,7,1,0,3,-99.6959228515625,71.86544799804688,370.4879150390625,505.8675231933594,F,1
Male,28,25 - 45,African-American,0,4,1,0,3,-147.62826538085938,64.87825012207031,442.55047607421875,769.4378662109375,F,0
Male,25,25 - 45,Caucasian,0,5,1,0,3,-126.78579711914062,83.2296371459961,429.2794189453125,749.8754272460938,F,1
Male,28,25 - 45,African-American,0,3,1,0,3,-100.95266723632812,72.43079376220703,399.34503173828125,596.4392700195312,F,0
Male,33,25 - 45,African-American,0,2,1,0,3,-156.02877807617188,56.81546401977539,309.66265869140625,710.5050659179688,F,0
Male,34,25 - 45,African-American,0,5,1,0,3,107.72808837890625,70.50701904296875,431.0360107421875,676.3287353515625,F,0
Female,95,Greater than 45,Other,9,9,12,6,37,1000.8687744140625,748.9403076171875,7602.39111328125,7603.54296875,M,1
Male,39,25 - 45,African-American,1,3,1,0,3,57.877288818359375,71.97832489013672,492.7764892578125,803.4605712890625,F,0
Female,95,Less than 25,Hispanic,9,9,12,6,37,999.1982421875,748.88134765625,7601.72216796875,7602.74609375,M,0
Male,94,Less than 25,Caucasian,9,9,11,6,34,967.5772705078125,677.063720703125,6770.7080078125,6841.40478515625,F,0
Male,31,25 - 45,African-American,0,3,1,0,3,-181.64622497558594,64.12247467041016,395.85400390625,656.7068481445312,F,0
Male,31,25 - 45,African-American,1,3,1,0,3,-115.11087036132812,74.90206909179688,510.947509765625,695.5741577148438,F,0
Male,27,25 - 45,Caucasian,1,3,1,0,3,-177.64254760742188,84.24275207519531,560.1744384765625,766.7982788085938,F,1
Male,34,25 - 45,African-American,0,3,1,0,3,-63.209869384765625,69.64055633544922,381.04547119140625,789.53515625,F,0
Male,34,25 - 45,African-American,0,5,1,0,3,204.58819580078125,67.72669219970703,386.55682373046875,739.1131591796875,F,0
Male,38,25 - 45,African-American,0,3,1,0,2,-115.34616088867188,67.73301696777344,443.616455078125,542.7183837890625,F,0
Male,31,25 - 45,African-American,0,5,1,0,3,132.8013916015625,62.93076705932617,368.94873046875,612.9421997070312,F,0
Male,28,25 - 45,Caucasian,1,4,1,0,4,34.827728271484375,77.84584045410156,590.9915771484375,875.9729614257812,F,0
Male,40,25 - 45,Caucasian,0,8,1,0,2,253.46099853515625,57.184913635253906,119.6141357421875,384.5717468261719,F,1
Male,30,25 - 45,African-American,1,5,1,0,3,180.92620849609375,72.90735626220703,506.70843505859375,770.6495971679688,F,0
Female,95,Greater than 45,Hispanic,9,9,12,6,37,997.07568359375,748.754150390625,7599.9296875,7601.19580078125,M,0
Male,38,25 - 45,African-American,0,4,1,0,3,60.662078857421875,66.95868682861328,350.52978515625,650.07177734375,F,0
Male,37,25 - 45,Caucasian,1,2,1,0,3,-111.31533813476562,74.99614715576172,547.8436279296875,723.4174194335938,F,1
Male,34,25 - 45,African-American,1,5,1,0,3,179.036376953125,72.91984558105469,498.061279296875,810.1629638671875,F,0
Male,35,25 - 45,African-American,0,3,0,0,2,-103.90213012695312,55.98625946044922,321.05438232421875,493.32177734375,F,0
Male,92,Less than 25,Caucasian,6,9,10,5,29,944.336181640625,620.9420776367188,5605.79052734375,5694.6728515625,F,1
Male,32,25 - 45,African-American,0,4,0,0,2,10.29437255859375,63.29621887207031,370.30987548828125,566.3479614257812,F,0
Male,41,25 - 45,African-American,0,4,1,0,3,97.64727783203125,67.28343200683594,456.39666748046875,734.5821533203125,F,0
Female,95,Greater than 45,Hispanic,9,9,12,6,37,999.3994140625,748.7574462890625,7599.43408203125,7601.0869140625,M,1
Male,94,Less than 25,Caucasian,8,9,11,6,33,954.9730224609375,661.853271484375,6609.04150390625,6503.61376953125,F,0
Male,94,Less than 25,Caucasian,9,9,12,6,36,976.8284912109375,714.4175415039062,7232.6748046875,7259.60009765625,F,1
Male,33,25 - 45,Caucasian,0,3,1,0,3,4.712158203125,66.36122131347656,435.62548828125,652.1691284179688,F,1
Male,32,25 - 45,African-American,0,5,1,0,3,76.10794067382812,67.42498779296875,389.89825439453125,631.4615478515625,F,0
Female,95,Less than 25,Hispanic,9,9,12,6,37,999.457763671875,748.9031982421875,7601.47900390625,7602.580078125,M,0
Male,52,25 - 45,Caucasian,1,9,1,0,3,731.85498046875,80.64293670654297,620.103759765625,716.4956665039062,F,1
Male,26,25 - 45,African-American,0,2,1,0,2,-237.32733154296875,58.52224349975586,313.6988525390625,601.6786499023438,F,0
