sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid
Male,24,25 - 45,African-American,0,4,0,0,2,-115.60848999023438,20.511070251464844,-85.31385803222656,221.53248596191406,F,1
Male,26,25 - 45,African-American,0,4,0,0,2,-108.40591430664062,29.927837371826172,-3.986358642578125,323.5234375,F,1
Male,23,25 - 45,African-American,0,8,0,0,2,-197.93357849121094,16.779224395751953,-117.81739807128906,184.47337341308594,F,1
Male,26,Less than 25,African-American,0,6,0,0,2,4.7083740234375,27.306425094604492,67.001708984375,299.048583984375,M,1
Male,65,25 - 45,Caucasian,9,9,12,6,36,169.3326416015625,743.8384399414062,7451.14013671875,7563.4345703125,F,0
Male,32,25 - 45,Caucasian,0,2,0,0,6,97.37399291992188,32.78248977661133,43.6177978515625,332.2533874511719,F,0
Male,52,25 - 45,Caucasian,0,3,0,0,8,238.84381103515625,25.969566345214844,-54.340087890625,285.00537109375,F,0
Male,22,25 - 45,African-American,0,7,0,0,2,-121.01190185546875,23.039478302001953,-73.24684143066406,250.65365600585938,F,1
Male,28,25 - 45,African-American,0,5,0,0,2,6.49365234375,26.85778045654297,-8.88134765625,286.04193115234375,F,1
Male,26,25 - 45,Caucasian,0,6,0,0,3,156.767822265625,16.319581985473633,-87.33351135253906,164.38356018066406,F,0
Male,22,25 - 45,African-American,0,9,0,0,2,-110.39675903320312,16.328859329223633,-111.79824829101562,170.74765014648438,F,1
Male,38,25 - 45,Caucasian,0,2,0,0,2,-1.844146728515625,30.409963607788086,91.26742553710938,310.8603210449219,F,0
Male,23,25 - 45,African-American,0,6,0,0,2,-119.48947143554688,30.57811737060547,17.31170654296875,327.34600830078125,F,1
Male,33,25 - 45,African-American,0,1,0,0,1,-26.785491943359375,27.91314125061035,2.0513916015625,292.62603759765625,F,0
Male,27,25 - 45,Caucasian,7,9,9,4,35,262.2509765625,504.4992980957031,3818.84521484375,5360.58984375,F,0
Male,52,25 - 45,African-American,0,2,0,0,2,-30.7506103515625,25.963890075683594,-21.28375244140625,276.7220764160156,F,0
Male,29,25 - 45,Caucasian,0,3,0,0,3,112.21112060546875,29.283727645874023,48.54339599609375,306.951171875,F,0
Male,50,25 - 45,African-American,0,1,0,0,1,-78.20877075195312,23.206266403198242,-44.498321533203125,243.50389099121094,M,0
Male,31,25 - 45,Caucasian,0,3,0,0,3,164.03594970703125,30.568952560424805,73.90689086914062,323.1787414550781,F,0
Male,36,Less than 25,African-American,0,2,0,0,2,-124.05712890625,29.782976150512695,122.59518432617188,309.8027038574219,M,1
Male,32,25 - 45,Caucasian,2,6,2,1,27,51.633514404296875,151.85507202148438,809.857666015625,1585.8441162109375,F,0
Male,26,25 - 45,Caucasian,0,3,0,0,1,-43.2911376953125,31.509201049804688,80.31301879882812,313.9670104980469,F,0
Male,25,25 - 45,Caucasian,0,7,1,0,8,147.79302978515625,64.05038452148438,305.230224609375,635.207275390625,F,0
Male,62,25 - 45,Caucasian,3,7,4,2,26,179.017822265625,229.1553497314453,1304.60986328125,2479.09912109375,F,0
Male,74,25 - 45,Hispanic,2,8,3,1,18,271.283935546875,188.79476928710938,1436.158447265625,2005.0506591796875,F,0
Male,30,25 - 45,Caucasian,0,5,0,0,14,136.51629638671875,28.541358947753906,112.32382202148438,279.0260925292969,F,0
